shares
.08039216
.10098039
.077450983
.090686277
.097058825
.01764706
.054901961
.043627452
.04509804
.064705886
.034803923
.065196082
.047058824
.049019609
.067647062
.0073529412
.0019607844
.0024509805
0
.015196078
0
.0019607844
0
.0039215689
.011764706
.00098039221
0
.0024509805
0
.004901961
0
.0034313726
0
.0014705883
.0024509805
.0014705883
0
0
0
.00098039221
.00049019611
.00049019611
